epoch,train_loss,training_time,val_loss
1,4.869331375649358,156.201101064682,5.79208433603503
2,4.646823789642125,143.4215850830078,5.8533801599876165
3,4.5909812668484635,146.51314902305603,5.875000890751475
4,4.534331636298639,165.41711926460266,5.933536841205715
5,4.289250632276307,159.39934301376343,6.094936338405019
6,4.174973028918582,167.41260361671448,6.152133016487987
7,4.147007871243734,175.79340648651123,6.1874961607235
8,4.121417969322856,172.15689086914062,6.2569391280105435
9,4.0935300757046855,154.05445909500122,6.309549280540231
10,4.064923567495248,148.77041888237,6.346758238802251
11,4.041450326190467,161.57987070083618,6.4184341017732915
12,4.015460163578646,150.47359371185303,6.503307647311811
13,3.9973036264803627,150.15111899375916,6.569406406166627
14,3.976733665336114,145.1961796283722,6.664491246410252
15,3.9589371806525535,148.4026894569397,6.748832720333768
16,3.942308254534881,150.02452564239502,6.9355486240583595
17,3.6734999340955716,146.36935472488403,7.0937088238824275
18,3.355567993157553,144.57456517219543,7.230245547933677
19,3.209281738300779,145.27276015281677,7.519111223319142
20,3.0948538864838793,145.06588768959045,7.8376983288637145
21,3.003948588013242,148.29743838310242,7.856706620245864
22,2.9287504197794423,153.84587597846985,8.038761629517545
23,2.8627532373923086,151.77151155471802,8.154158518486415
24,2.802150149556964,152.83060812950134,8.353743531531894
25,2.749898249622905,153.93094539642334,8.359564543261971
26,2.6957986917105146,164.81287670135498,8.639421840549744
27,2.6513131791007396,161.52416920661926,8.592917721541886
28,2.6050974608281368,159.5554633140564,8.759488200158188
29,2.5600833586865317,171.45847463607788,8.88430151202015
30,2.5178316189567385,163.6280882358551,8.996102071545788
31,2.482264504579147,159.07610726356506,9.085994865968056
32,2.4451053656815667,166.01499223709106,9.240534049948467
33,2.412053525488531,180.74412560462952,9.265963843434127
34,2.37568318282378,221.49325466156006,9.267694007244307
35,2.341775995065735,232.62445378303528,9.454935215428932
36,2.3109330115464766,223.28489017486572,9.40429538648153
37,2.279957257602809,210.9022991657257,9.552184450995062
38,2.2519720144239304,209.76555109024048,9.579197604385849
39,2.2231559191140704,207.92588925361633,9.686041566514477
40,2.1942926396282054,204.4192373752594,9.80488843229628
41,2.1666804525225642,208.9822747707367,9.787085719944276
42,2.1421798404980033,195.56836342811584,9.964332846022144
43,2.1177570140402473,190.14161586761475,9.985919478504929
44,2.089435801896626,224.12743186950684,10.008527612194573
45,2.068118953379348,307.3407187461853,10.194800721001378
46,2.0428074445333904,237.07700943946838,10.30552775786095
47,2.018066535223873,176.6017074584961,10.343859043317972
48,1.994488067187547,159.7331726551056,10.283676593819845
49,1.9760527105461616,155.4781310558319,10.457715488709125
50,1.953955971096156,156.10858178138733,10.566421964979662
